model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_average_precision_mean
logistic_regression,0.802095977784117,0.6528985914483468,0.5431438127090301,0.5923158544291797,0.6614299044509414
mlp,0.8044045635861881,0.6584485007470476,0.5498327759197325,0.5984286952850983,0.6565100193127122
decision_tree,0.7923342910413065,0.6297313522164176,0.5397993311036788,0.5778829469767273,0.6219679608412259
knn,0.7855908816534567,0.608039242293216,0.5451505016722408,0.5745701529030784,0.5982434229732172
